날짜,지역,유종,가격
2025-02-01,광주광역시,DSL,1583.60
2025-02-01,대구광역시,GAS,1700.37
2025-02-01,대구광역시,DSL,1562.80
2025-02-01,대전광역시,GAS,1714.08
2025-02-01,대전광역시,DSL,1592.72
2025-02-01,부산광역시,GAS,1720.76
2025-02-01,부산광역시,DSL,1579.33
2025-02-01,서울특별시,GAS,1791.00
2025-02-01,서울특별시,DSL,1665.71
2025-02-01,세종특별자치시,GAS,1731.24
2025-02-01,세종특별자치시,DSL,1603.68
2025-02-01,울산광역시,DSL,1575.90
2025-02-01,울산광역시,GAS,1715.63
2025-02-01,인천광역시,GAS,1727.58
2025-02-01,인천광역시,DSL,1594.80
2025-02-01,전라남도,GAS,1729.64
2025-02-01,전라남도,DSL,1593.28
2025-02-01,전라북도,GAS,1710.87
2025-02-01,전라북도,DSL,1579.21
2025-02-01,제주특별자치도,GAS,1768.41
2025-02-01,제주특별자치도,DSL,1645.38
2025-02-01,충청남도,GAS,1731.02
2025-02-01,충청남도,DSL,1598.19
2025-02-01,충청북도,GAS,1733.52
2025-02-01,충청북도,DSL,1599.32
2025-03-01,강원도,GAS,1711.75
2025-03-01,강원도,DSL,1579.58
2025-03-01,경기도,GAS,1681.76
2025-03-01,경기도,DSL,1546.24
2025-03-01,경상남도,GAS,1677.71
2025-03-01,경상남도,DSL,1545.85
2025-03-01,경상북도,GAS,1686.76
2025-03-01,경상북도,DSL,1545.63
2025-03-01,광주광역시,GAS,1676.71
2025-03-01,광주광역시,DSL,1548.83
2025-03-01,대구광역시,GAS,1654.48
2025-03-01,대구광역시,DSL,1517.56
2025-03-01,대전광역시,GAS,1661.47
2025-03-01,대전광역시,DSL,1541.39
2025-03-01,부산광역시,GAS,1669.56
2025-03-01,부산광역시,DSL,1531.36
2025-03-01,서울특별시,GAS,1747.02
2025-03-01,서울특별시,DSL,1625.31
2025-03-01,세종특별자치시,GAS,1683.17
2025-03-01,세종특별자치시,DSL,1560.00
2025-03-01,울산광역시,DSL,1528.37
2025-03-01,울산광역시,GAS,1664.63
2025-03-01,인천광역시,GAS,1666.62
2025-03-01,인천광역시,DSL,1534.43
2025-03-01,전라남도,GAS,1704.94
2025-03-01,전라남도,DSL,1569.64
2025-03-01,전라북도,GAS,1680.36
2025-03-01,전라북도,DSL,1549.70
2025-03-01,제주특별자치도,GAS,1751.84
2025-03-01,제주특별자치도,DSL,1614.45
2025-03-01,충청남도,GAS,1694.14
2025-03-01,충청남도,DSL,1561.31
2025-03-01,충청북도,GAS,1700.12
2025-03-01,충청북도,DSL,1565.20
2025-04-01,강원도,GAS,1673.95
2025-04-01,강원도,DSL,1541.68
2025-04-01,경기도,GAS,1640.71
2025-04-01,경기도,DSL,1505.40
2025-04-01,경상남도,GAS,1634.76
2025-04-01,경상남도,DSL,1502.51
2025-04-01,경상북도,GAS,1639.99
2025-04-01,경상북도,DSL,1499.47
2025-04-01,광주광역시,GAS,1629.56
2025-04-01,광주광역시,DSL,1502.40
2025-04-01,대구광역시,GAS,1606.34
2025-04-01,대구광역시,DSL,1469.02
2025-04-01,대전광역시,GAS,1615.95
2025-04-01,대전광역시,DSL,1497.68
2025-04-01,부산광역시,GAS,1619.77
2025-04-01,부산광역시,DSL,1481.91
2025-04-01,서울특별시,GAS,1711.84
2025-04-01,서울특별시,DSL,1592.64
2025-04-01,세종특별자치시,GAS,1642.37
2025-04-01,세종특별자치시,DSL,1516.40
2025-04-01,울산광역시,DSL,1474.98
2025-04-01,울산광역시,GAS,1610.06
