연도,월,지역,연료,차종,등록대수
2020,2,부산광역시,수소,승합,0
2020,2,부산광역시,수소,화물,0
2020,2,부산광역시,수소,특수,0
2020,2,부산광역시,전기,승용,15
2020,2,부산광역시,전기,승합,0
2020,2,부산광역시,전기,화물,1
2020,2,부산광역시,전기,특수,0
2020,2,부산광역시,하이브리드,승용,365
2020,2,부산광역시,하이브리드,승합,0
2020,2,부산광역시,하이브리드,화물,0
2020,2,부산광역시,하이브리드,특수,0
2020,2,부산광역시,휘발유,승용,961
2020,2,부산광역시,휘발유,승합,0
2020,2,부산광역시,휘발유,화물,14
2020,2,부산광역시,휘발유,특수,0
2020,2,서울특별시,경유,승용,1687
2020,2,서울특별시,경유,승합,159
2020,2,서울특별시,경유,화물,1939
2020,2,서울특별시,경유,특수,59
2020,2,서울특별시,수소,승용,10
2020,2,서울특별시,수소,승합,0
2020,2,서울특별시,수소,화물,0
2020,2,서울특별시,수소,특수,0
2020,2,서울특별시,전기,승용,1289
2020,2,서울특별시,전기,승합,1
2020,2,서울특별시,전기,화물,148
2020,2,서울특별시,전기,특수,0
2020,2,서울특별시,하이브리드,승용,1051
2020,2,서울특별시,하이브리드,승합,0
2020,2,서울특별시,하이브리드,화물,0
2020,2,서울특별시,하이브리드,특수,0
2020,2,서울특별시,휘발유,승용,1434
2020,2,서울특별시,휘발유,승합,0
2020,2,서울특별시,휘발유,화물,58
2020,2,서울특별시,휘발유,특수,0
2020,2,세종특별자치시,경유,승용,20
2020,2,세종특별자치시,경유,승합,3
2020,2,세종특별자치시,경유,화물,34
2020,2,세종특별자치시,경유,특수,2
2020,2,세종특별자치시,수소,승용,0
2020,2,세종특별자치시,수소,승합,0
2020,2,세종특별자치시,수소,화물,0
2020,2,세종특별자치시,수소,특수,0
2020,2,세종특별자치시,전기,승용,3
2020,2,세종특별자치시,전기,승합,0
2020,2,세종특별자치시,전기,화물,0
2020,2,세종특별자치시,전기,특수,0
2020,2,세종특별자치시,하이브리드,승용,6
2020,2,세종특별자치시,하이브리드,승합,0
2020,2,세종특별자치시,하이브리드,화물,0
2020,2,세종특별자치시,하이브리드,특수,0
2020,2,세종특별자치시,휘발유,승용,0
2020,2,세종특별자치시,휘발유,승합,0
2020,2,세종특별자치시,휘발유,화물,1
2020,2,세종특별자치시,휘발유,특수,0
2020,2,울산광역시,경유,승용,392
2020,2,울산광역시,경유,승합,45
2020,2,울산광역시,경유,화물,264
2020,2,울산광역시,경유,특수,6
2020,2,울산광역시,수소,승용,69
2020,2,울산광역시,수소,승합,0
2020,2,울산광역시,수소,화물,0
2020,2,울산광역시,수소,특수,0
2020,2,울산광역시,전기,승용,2
2020,2,울산광역시,전기,승합,0
2020,2,울산광역시,전기,화물,26
