year,sido,sigungu,vehicle_type,manufacturer,model_name,national_subsidy,local_subsidy,total_subsidy
2026,부산,부산광역시,일반승용,기아,EV4 스탠다드 2WD 17인치,512.0,153.0,665.0
2026,부산,부산광역시,일반승용,기아,EV4 스탠다드 2WD 19인치,481.0,144.0,625.0
2026,부산,부산광역시,일반승용,기아,EV5 GT,232.0,69.0,301.0
2026,부산,부산광역시,일반승용,기아,EV5 롱레인지 2WD,552.0,165.0,717.0
2026,부산,부산광역시,일반승용,기아,EV5 롱레인지 4WD 18인치,499.0,149.0,648.0
2026,부산,부산광역시,일반승용,기아,EV5 롱레인지 4WD 19인치,493.0,147.0,640.0
2026,부산,부산광역시,일반승용,기아,EV9 GT,245.0,73.0,318.0
2026,부산,부산광역시,일반승용,기아,EV9 롱레인지 2WD 19인치,270.0,81.0,351.0
2026,부산,부산광역시,일반승용,기아,EV9 롱레인지 2WD 20인치,268.0,80.0,348.0
2026,부산,부산광역시,일반승용,기아,EV9 롱레인지 4WD 19인치,254.0,76.0,330.0
2026,부산,부산광역시,일반승용,기아,EV9 롱레인지 4WD 21인치,260.0,78.0,338.0
2026,부산,부산광역시,일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,252.0,75.0,327.0
2026,부산,부산광역시,일반승용,기아,EV9 스탠다드,237.0,71.0,308.0
2026,부산,부산광역시,일반승용,기아,PV5 패신저 5인승 롱레인지,458.0,137.0,595.0
2026,부산,부산광역시,일반승용,기아,Pv5 WAV(비용 미지원),648.0,194.0,842.0
2026,부산,부산광역시,일반승용,기아,Pv5 WAV(비용 지원),448.0,134.0,582.0
2026,부산,부산광역시,일반승용,기아,The all-new Kia Niro EV,489.0,146.0,635.0
2026,부산,부산광역시,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,570.0,171.0,741.0
2026,부산,부산광역시,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,559.0,167.0,726.0
2026,부산,부산광역시,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,561.0,168.0,729.0
2026,부산,부산광역시,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,532.0,159.0,691.0
2026,부산,부산광역시,일반승용,기아,더뉴EV6 스탠다드,501.0,150.0,651.0
2026,부산,부산광역시,경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457.0,137.0,594.0
2026,부산,부산광역시,경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457.0,137.0,594.0
